"QuestionSet","Part","PartTitle","SectionPoints","QuestionNumber","QuestionText","OptionA","OptionB","OptionC","CorrectOption","CorrectAnswer"
"Basic Assessment","Part A","English","10","1","Which word is an animal?","Table","Dog","Chair","B","Dog"
"Basic Assessment","Part A","English","10","2","Which word begins with the letter B?","Apple","Ball","Fish","B","Ball"
"Basic Assessment","Part A","English","10","3","Which word rhymes with sun?","Run","Cat","Bed","A","Run"
"Basic Assessment","Part A","English","10","4","Choose the opposite of hot.","Cold","Warm","Big","A","Cold"
"Basic Assessment","Part A","English","10","5","Which one is a fruit?","Banana","Pencil","Shoe","A","Banana"
"Basic Assessment","Part A","English","10","6","Which letter comes after M?","L","N","O","B","N"
"Basic Assessment","Part A","English","10","7","Which word is spelled correctly?","Hous","House","Houes","B","House"
"Basic Assessment","Part A","English","10","8","Complete the sentence. I drink _____.","water","shoes","chair","A","water"
"Basic Assessment","Part A","English","10","9","Which one is used for reading?","Book","Spoon","Ball","A","Book"
"Basic Assessment","Part A","English","10","10","Which word starts with the same sound as Cat?","Cake","Dog","Fish","A","Cake"
"Basic Assessment","Part B","Mathematics","10","11","Count: ⭐⭐⭐⭐⭐ How many stars?","4","5","6","B","5"
"Basic Assessment","Part B","Mathematics","10","12","Which number is bigger? 6 or 9","6","9","","B","9"
"Basic Assessment","Part B","Mathematics","10","13","What is 4 + 3?","6","7","8","B","7"
"Basic Assessment","Part B","Mathematics","10","14","What is 9 − 5?","3","4","5","B","4"
"Basic Assessment","Part B","Mathematics","10","15","Fill in the missing number. 2, 3, __, 5","4","6","7","A","4"
"Basic Assessment","Part B","Mathematics","10","16","Which number comes before 10?","8","9","11","B","9"
"Basic Assessment","Part B","Mathematics","10","17","Which shape has three sides?","Circle","Square","Triangle","C","Triangle"
"Basic Assessment","Part B","Mathematics","10","18","Which is longer?","A pencil","An eraser","","A","A pencil"
"Basic Assessment","Part B","Mathematics","10","19","Count by twos. 2, 4, 6, __","7","8","9","B","8"
"Basic Assessment","Part B","Mathematics","10","20","Which is the smallest number?","5","2","8","B","2"
"Basic Assessment","Part C","Logic and Patterns","5","21","What comes next? ⭐ ⭐ ❤️ ⭐ ⭐ ❤️ ⭐ ⭐ __","❤️","⭐","▲","A","❤️"
"Basic Assessment","Part C","Logic and Patterns","5","22","Which one does NOT belong?","Dog","Cat","Car","C","Car"
"Basic Assessment","Part C","Logic and Patterns","5","23","Which picture is different? 🍎 🍎 🍎 🚲","Apple","Bicycle","","B","Bicycle"
"Basic Assessment","Part C","Logic and Patterns","5","24","Complete the pattern. ▲ ● ▲ ● ▲ __","▲","●","","B","●"
"Basic Assessment","Part C","Logic and Patterns","5","25","Which one can fly?","Bird","Fish","Dog","A","Bird"
"Basic Assessment","Part D","General Knowledge","5","26","How many days are there in one week?","5","6","7","C","7"
"Basic Assessment","Part D","General Knowledge","5","27","Which animal gives us milk?","Cow","Lion","Monkey","A","Cow"
"Basic Assessment","Part D","General Knowledge","5","28","Which color is the sun usually shown as?","Yellow","Blue","Black","A","Yellow"
"Basic Assessment","Part D","General Knowledge","5","29","Which room do you sleep in?","Kitchen","Bedroom","Bathroom","B","Bedroom"
"Basic Assessment","Part D","General Knowledge","5","30","What should you do before eating?","Wash your hands","Jump","Sleep","A","Wash your hands"
"Logic & IQ Practice","Part A","Patterns","10","1","What comes next? ⭐ ⭐ ❤️ ⭐ ⭐ ❤️ ⭐ ⭐ _____","⭐","❤️","▲","B","❤️"
"Logic & IQ Practice","Part A","Patterns","10","2","▲ ● ▲ ● ▲ _____","▲","●","■","B","●"
"Logic & IQ Practice","Part A","Patterns","10","3","2 4 6 8 _____","9","10","12","B","10"
"Logic & IQ Practice","Part A","Patterns","10","4","A C E _____","F","G","H","B","G"
"Logic & IQ Practice","Part A","Patterns","10","5","🍎 🍌 🍎 🍌 🍎 _____","🍌","🍎","🍇","A","🍌"
"Logic & IQ Practice","Part A","Patterns","10","6","Red, Blue, Red, Blue, _____","Green","Red","Yellow","B","Red"
"Logic & IQ Practice","Part A","Patterns","10","7","1 3 5 7 _____","8","9","10","B","9"
"Logic & IQ Practice","Part A","Patterns","10","8","○ □ ○ □ ○ _____","○","□","","B","□"
"Logic & IQ Practice","Part A","Patterns","10","9","Monday, Tuesday, Wednesday, _____","Friday","Thursday","Saturday","B","Thursday"
"Logic & IQ Practice","Part A","Patterns","10","10","🐶 🐱 🐶 🐱 🐶 _____","🐶","🐱","","B","🐱"
"Logic & IQ Practice","Part B","Odd One Out","10","11","Which one is the odd one out?","Apple","Banana","Car","C","Car"
"Logic & IQ Practice","Part B","Odd One Out","10","12","Which one is the odd one out?","Circle","Square","Dog","C","Dog"
"Logic & IQ Practice","Part B","Odd One Out","10","13","Which one is the odd one out?","Fish","Bird","Chair","C","Chair"
"Logic & IQ Practice","Part B","Odd One Out","10","14","Which one is the odd one out?","Shirt","Pants","Spoon","C","Spoon"
"Logic & IQ Practice","Part B","Odd One Out","10","15","Which one is the odd one out?","Cow","Goat","Pencil","C","Pencil"
"Logic & IQ Practice","Part B","Odd One Out","10","16","Which one is the odd one out?","Bed","Pillow","Banana","C","Banana"
"Logic & IQ Practice","Part B","Odd One Out","10","17","Which one is the odd one out?","Bus","Car","Apple","C","Apple"
"Logic & IQ Practice","Part B","Odd One Out","10","18","Which one is the odd one out?","Lion","Tiger","Table","C","Table"
"Logic & IQ Practice","Part B","Odd One Out","10","19","Which one is the odd one out?","Fork","Spoon","Shoe","C","Shoe"
"Logic & IQ Practice","Part B","Odd One Out","10","20","Which one is the odd one out?","Sun","Moon","Book","C","Book"
"Logic & IQ Practice","Part C","Reasoning","10","21","A bird lives in a _____.","Nest","Pond","Garage","A","Nest"
"Logic & IQ Practice","Part C","Reasoning","10","22","You wear shoes on your _____.","Head","Feet","Hands","B","Feet"
"Logic & IQ Practice","Part C","Reasoning","10","23","If it is raining, what should you use?","Umbrella","Sunglasses","Pillow","A","Umbrella"
"Logic & IQ Practice","Part C","Reasoning","10","24","Which object is the heaviest?","Feather","Stone","Leaf","B","Stone"
"Logic & IQ Practice","Part C","Reasoning","10","25","Which animal can fly?","Bird","Dog","Cat","A","Bird"
"Logic & IQ Practice","Part C","Reasoning","10","26","Which one is used to cut paper?","Scissors","Plate","Pillow","A","Scissors"
"Logic & IQ Practice","Part C","Reasoning","10","27","Which is the smallest?","Elephant","Ant","Horse","B","Ant"
"Logic & IQ Practice","Part C","Reasoning","10","28","Ice melts because it becomes _____.","Hot","Cold","Wet","A","Hot"
"Logic & IQ Practice","Part C","Reasoning","10","29","Which comes first in the morning?","Breakfast","Dinner","Bedtime","A","Breakfast"
"Logic & IQ Practice","Part C","Reasoning","10","30","If you finish your work early, what should you do?","Help clean up","Throw your paper","Shout loudly","A","Help clean up"
"Grade 2 Practice Exam","Part A","English","20","1","Which word means the opposite of happy?","Sad","Angry","Funny","A","Sad"
"Grade 2 Practice Exam","Part A","English","20","2","Which word is spelled correctly?","Becaus","Because","Becose","B","Because"
"Grade 2 Practice Exam","Part A","English","20","3","Choose the correct plural. One child, many ______.","Childs","Children","Childes","B","Children"
"Grade 2 Practice Exam","Part A","English","20","4","Which word is a verb?","Jump","Chair","Pencil","A","Jump"
"Grade 2 Practice Exam","Part A","English","20","5","Which word is a noun?","Sing","Beautiful","School","C","School"
"Grade 2 Practice Exam","Part A","English","20","6","Fill in the blank. She ____ to school every day.","go","goes","going","B","goes"
"Grade 2 Practice Exam","Part A","English","20","7","Choose the correct sentence.","He have a book.","He has a book.","He having a book.","B","He has a book."
"Grade 2 Practice Exam","Part A","English","20","8","Which punctuation ends a question?",".","!","?","C","?"
"Grade 2 Practice Exam","Part A","English","20","9","Which word should begin with a capital letter?","monday","happy","school","A","monday"
"Grade 2 Practice Exam","Part A","English","20","10","Arrange the words into a sentence: playing / is / Ben / outside","Ben is playing outside.","Playing Ben outside is.","Outside is Ben playing.","A","Ben is playing outside."
"Grade 2 Practice Exam","Part A","English","20","11","Read the story: ""Anna planted a small mango tree in her garden. She watered it every morning. After many months, the tree grew taller and had many green leaves."" What did Anna plant?","A mango tree","A flower","A vegetable","A","A mango tree"
"Grade 2 Practice Exam","Part A","English","20","12","Read the story: ""Anna planted a small mango tree in her garden. She watered it every morning. After many months, the tree grew taller and had many green leaves."" Where did she plant it?","In her garden","In a pot","At school","A","In her garden"
"Grade 2 Practice Exam","Part A","English","20","13","Read the story: ""Anna planted a small mango tree in her garden. She watered it every morning. After many months, the tree grew taller and had many green leaves."" When did she water it?","Every morning","Every night","Once a week","A","Every morning"
"Grade 2 Practice Exam","Part A","English","20","14","Read the story: ""Anna planted a small mango tree in her garden. She watered it every morning. After many months, the tree grew taller and had many green leaves."" What happened after many months?","The tree grew taller and had many green leaves","The tree died","Nothing happened","A","The tree grew taller and had many green leaves"
"Grade 2 Practice Exam","Part A","English","20","15","Which word means ""became bigger""?","Grew","Watered","Planted","A","Grew"
"Grade 2 Practice Exam","Part A","English","20","16","Which word rhymes with ""cake""?","Lake","Fish","Ball","A","Lake"
"Grade 2 Practice Exam","Part A","English","20","17","Which is a synonym of ""fast""?","Quick","Slow","Tiny","A","Quick"
"Grade 2 Practice Exam","Part A","English","20","18","Which sentence is correct?","The birds are flying.","The birds is flying.","The birds am flying.","A","The birds are flying."
"Grade 2 Practice Exam","Part A","English","20","19","Which word comes first in the dictionary?","Apple","Ball","Cat","A","Apple"
"Grade 2 Practice Exam","Part A","English","20","20","Which word names a person?","Teacher","School","Book","A","Teacher"
